World, Time all detected (ms), Time all destroyed (ms), Time world known (ms)
world00,379904,554368,338880
world01,167184,497616,468192
world02,287584,596320,233264
world03,50144,-1,164352
world04,269056,336528,92544
world05,260816,298864,165744
world06,198576,395376,331568
world07,256624,467952,183040
world08,233520,323408,293008
world09,102880,-1,109712
