World, Time all detected (ms), Time all destroyed (ms), Time world known (ms)
world00,118960,305152,117408
world01,101696,377984,143872
world02,217104,293792,103776
world03,54912,-1,40624
world04,74112,173920,18784
world05,197888,243744,183536
world06,119072,169568,91392
world07,109344,222000,52624
world08,123488,164912,124336
world09,44016,125360,68800
