World, Time all detected (ms), Time all destroyed (ms), Time world known (ms)
world00,86496,171952,85120
world01,73760,159136,67632
world02,111408,159536,82272
world03,64752,-1,95200
world04,190768,247504,16256
world05,63856,174992,57744
world06,205056,306624,95008
world07,70592,129648,19648
world08,118064,280352,63168
world09,174992,221104,29024
