World, Time all detected (ms), Time all destroyed (ms), Time world known (ms)
world00,121632,348464,104016
world01,65792,167744,76320
world02,175776,196304,40576
world03,60656,179024,22400
world04,144224,243968,20416
world05,117136,238080,106944
world06,238336,259936,73728
world07,165984,209072,157200
world08,261072,299840,256416
world09,156080,251248,46880
